emp_uid,days_present,days_absent,days_absent_min,total_tardy_min,total_tardiness
238,12,0,0,0,0
265,11,1,480,39,519
314,12,0,,345,345
318,10,2,960,340,1300
320,12,0,,130,130
349,12,0,0,0,0
351,11,1,480,169,649
354,9,3,1440,,1440
356,11,1,480,444,924
357,9,3,1440,66,1506
360,11,1,480,,480
371,11,1,480,26,506
364,11,1,480,73,553
377,12,0,,142,142
379,11,1,480,56,536
381,12,0,,167,167
384,12,0,,17,17
383,5,7,3360,,3360
382,12,0,,17,17
