emp_uid,days_present,days_absent,days_absent_min,total_tardy_min,total_tardiness
385,4,8,3840,0,3840
374,10,2,960,33,993
375,12,0,0,118,118
376,12,0,0,26,26
8,12,0,0,346,346
167,11,1,480,136,616
370,12,0,0,0,0
380,12,0,0,33,33
238,12,0,0,0,0
265,11,1,480,39,519
314,12,0,0,345,345
318,10,2,960,340,1300
320,12,0,0,130,130
