emp_uid,ot,rdot,shot,shrdot,rhot,rhrdot,rd,sh,shrd,rh,rhrd,nd
270,14.5,0,0,0,16,0,0,0,0,8,0,0
337,33,0,0,0,0,0,0,0,0,8,0,5
